departamento,anio,dia_semana,siniestros
ANCASH,2015,VIERNES,320
ANCASH,2015,SÁBADO,282
ANCASH,2015,DOMINGO,252
ANCASH,2016,LUNES,204
ANCASH,2016,MARTES,181
ANCASH,2016,MIÉRCOLES,192
ANCASH,2016,JUEVES,202
ANCASH,2016,VIERNES,250
ANCASH,2016,SÁBADO,308
ANCASH,2016,DOMINGO,194
ANCASH,2017,LUNES,241
ANCASH,2017,MARTES,239
ANCASH,2017,MIÉRCOLES,294
ANCASH,2017,JUEVES,209
ANCASH,2017,VIERNES,300
ANCASH,2017,SÁBADO,387
ANCASH,2017,DOMINGO,303
ANCASH,2018,LUNES,250
ANCASH,2018,MARTES,232
ANCASH,2018,MIÉRCOLES,232
ANCASH,2018,JUEVES,305
ANCASH,2018,VIERNES,373
ANCASH,2018,SÁBADO,405
ANCASH,2018,DOMINGO,264
ANCASH,2019,LUNES,245
ANCASH,2019,MARTES,231
ANCASH,2019,MIÉRCOLES,295
ANCASH,2019,JUEVES,257
ANCASH,2019,VIERNES,383
ANCASH,2019,SÁBADO,480
ANCASH,2019,DOMINGO,438
ANCASH,2020,LUNES,144
ANCASH,2020,MARTES,178
ANCASH,2020,MIÉRCOLES,194
ANCASH,2020,JUEVES,185
ANCASH,2020,VIERNES,198
ANCASH,2020,SÁBADO,226
ANCASH,2020,DOMINGO,154
ANCASH,2021,LUNES,290
ANCASH,2021,MARTES,266
ANCASH,2021,MIÉRCOLES,253
ANCASH,2021,JUEVES,291
ANCASH,2021,VIERNES,332
ANCASH,2021,SÁBADO,412
ANCASH,2021,DOMINGO,252
ANCASH,2022,LUNES,313
ANCASH,2022,MARTES,311
ANCASH,2022,MIÉRCOLES,328
ANCASH,2022,JUEVES,335
ANCASH,2022,VIERNES,402
ANCASH,2022,SÁBADO,465
ANCASH,2022,DOMINGO,299
ANCASH,2023,LUNES,320
ANCASH,2023,MARTES,302
ANCASH,2023,MIÉRCOLES,322
ANCASH,2023,JUEVES,329
ANCASH,2023,VIERNES,417
ANCASH,2023,SÁBADO,502
ANCASH,2023,DOMINGO,365
ANCASH,2024,LUNES,234
ANCASH,2024,MARTES,277
ANCASH,2024,MIÉRCOLES,298
ANCASH,2024,JUEVES,334
ANCASH,2024,VIERNES,402
ANCASH,2024,SÁBADO,446
ANCASH,2024,DOMINGO,227
APURIMAC,2008,LUNES,122
APURIMAC,2008,MARTES,39
APURIMAC,2008,MIÉRCOLES,79
APURIMAC,2008,JUEVES,46
APURIMAC,2008,VIERNES,79
APURIMAC,2008,SÁBADO,30
APURIMAC,2008,DOMINGO,33
APURIMAC,2009,LUNES,29
APURIMAC,2009,MARTES,22
APURIMAC,2009,MIÉRCOLES,29
APURIMAC,2009,JUEVES,24
