mes,anio,condicion,victimas
FEBRERO,2007,MUERTOS,70
FEBRERO,2007,HERIDOS,505
MARZO,2022,MUERTOS,64
MARZO,2022,HERIDOS,656
MARZO,2021,MUERTOS,54
MARZO,2021,HERIDOS,442
MARZO,2020,MUERTOS,30
MARZO,2020,HERIDOS,430
MARZO,2019,MUERTOS,61
MARZO,2019,HERIDOS,596
MARZO,2018,MUERTOS,77
MARZO,2018,HERIDOS,771
MARZO,2017,MUERTOS,86
MARZO,2017,HERIDOS,471
MARZO,2016,MUERTOS,63
MARZO,2016,HERIDOS,463
MARZO,2015,MUERTOS,111
MARZO,2015,HERIDOS,525
MARZO,2014,MUERTOS,73
MARZO,2014,HERIDOS,496
MARZO,2013,MUERTOS,133
MARZO,2013,HERIDOS,480
MARZO,2012,MUERTOS,64
MARZO,2012,HERIDOS,422
MARZO,2011,MUERTOS,42
MARZO,2011,HERIDOS,583
MARZO,2010,MUERTOS,66
MARZO,2010,HERIDOS,313
MARZO,2009,MUERTOS,42
MARZO,2009,HERIDOS,460
MARZO,2008,MUERTOS,86
MARZO,2008,HERIDOS,540
MARZO,2007,MUERTOS,56
MARZO,2007,HERIDOS,376
ABRIL,2022,MUERTOS,53
ABRIL,2022,HERIDOS,461
ABRIL,2021,MUERTOS,48
ABRIL,2021,HERIDOS,385
ABRIL,2020,MUERTOS,6
ABRIL,2020,HERIDOS,72
ABRIL,2019,MUERTOS,46
ABRIL,2019,HERIDOS,623
ABRIL,2018,MUERTOS,69
ABRIL,2018,HERIDOS,509
ABRIL,2017,MUERTOS,40
ABRIL,2017,HERIDOS,441
ABRIL,2016,MUERTOS,66
ABRIL,2016,HERIDOS,417
ABRIL,2015,MUERTOS,76
ABRIL,2015,HERIDOS,418
ABRIL,2014,MUERTOS,55
ABRIL,2014,HERIDOS,449
ABRIL,2013,MUERTOS,84
ABRIL,2013,HERIDOS,430
ABRIL,2012,MUERTOS,70
ABRIL,2012,HERIDOS,478
ABRIL,2011,MUERTOS,49
ABRIL,2011,HERIDOS,453
ABRIL,2010,MUERTOS,55
ABRIL,2010,HERIDOS,318
ABRIL,2009,MUERTOS,59
ABRIL,2009,HERIDOS,427
ABRIL,2008,MUERTOS,66
ABRIL,2008,HERIDOS,141
ABRIL,2007,MUERTOS,85
ABRIL,2007,HERIDOS,411
MAYO,2022,MUERTOS,77
MAYO,2022,HERIDOS,502
MAYO,2021,MUERTOS,61
MAYO,2021,HERIDOS,496
MAYO,2020,MUERTOS,24
MAYO,2020,HERIDOS,106
MAYO,2019,MUERTOS,60
MAYO,2019,HERIDOS,530
MAYO,2018,MUERTOS,66
MAYO,2018,HERIDOS,688
MAYO,2017,MUERTOS,57
MAYO,2017,HERIDOS,535
MAYO,2016,MUERTOS,73
