departamento,anio,tipo_siniestro,siniestros
ANCASH,2021,INCENDIO,5
ANCASH,2021,DESPISTE,341
ANCASH,2021,CHOQUE Y ATROPELLO,14
ANCASH,2021,DESPISTE Y VOLCADURA,54
ANCASH,2021,COLISIÓN Y FUGA,1
ANCASH,2021,COLISIÓN,0
ANCASH,2021,OTRO,376
ANCASH,2022,ATROPELLO,295
ANCASH,2022,ATROPELLO Y FUGA,34
ANCASH,2022,CHOQUE,1042
ANCASH,2022,CHOQUE Y FUGA,242
ANCASH,2022,VOLCADURA,78
ANCASH,2022,CAIDA DE PASAJERO,15
ANCASH,2022,INCENDIO,3
ANCASH,2022,DESPISTE,329
ANCASH,2022,CHOQUE Y ATROPELLO,81
ANCASH,2022,DESPISTE Y VOLCADURA,58
ANCASH,2022,COLISIÓN Y FUGA,5
ANCASH,2022,COLISIÓN,6
ANCASH,2022,OTRO,265
ANCASH,2023,ATROPELLO,252
ANCASH,2023,ATROPELLO Y FUGA,67
ANCASH,2023,CHOQUE,1188
ANCASH,2023,CHOQUE Y FUGA,248
ANCASH,2023,VOLCADURA,75
ANCASH,2023,CAIDA DE PASAJERO,17
ANCASH,2023,INCENDIO,2
ANCASH,2023,DESPISTE,353
ANCASH,2023,CHOQUE Y ATROPELLO,96
ANCASH,2023,DESPISTE Y VOLCADURA,39
ANCASH,2023,COLISIÓN Y FUGA,1
ANCASH,2023,COLISIÓN,4
ANCASH,2023,OTRO,215
ANCASH,2024,ATROPELLO,257
ANCASH,2024,ATROPELLO Y FUGA,53
ANCASH,2024,CHOQUE,995
ANCASH,2024,CHOQUE Y FUGA,184
ANCASH,2024,VOLCADURA,68
ANCASH,2024,CAIDA DE PASAJERO,25
ANCASH,2024,INCENDIO,0
ANCASH,2024,DESPISTE,307
ANCASH,2024,CHOQUE Y ATROPELLO,62
ANCASH,2024,DESPISTE Y VOLCADURA,51
ANCASH,2024,COLISIÓN Y FUGA,1
ANCASH,2024,COLISIÓN,6
ANCASH,2024,OTRO,209
APURIMAC,2008,ATROPELLO,232
